Name of Product,Description,Image Link,Price,Rating,Name of Store
Xiaomi Redmi Note 10 5G 8/128GB NFC Smartphone HP Andorid,"Xiaomi Redmi Note 10 5G

Garansi Toko 45 hari NEW SEGEL

Spesifikasi:

Penyimpanan & RAM
4GB+128GB, 8GB+128GB
Penyimpanan external hingga 1 TB
LPDDR4X RAM + penyimpanan UFS2.2

Dimensi
Tinggi: 161,81mm
Ketebalan: 8,92mm
Lebar: 75,34mm
Berat: 190g

Layar
90Hz 6.5”FHD+ DotDisplay
Resolusi: 2400 x 1080
Rasio kontras: 1500:1
Rasio refresh: 90Hz

Prosesor
MediaTek Dimensity 700 Dual 5G
CPU: Arm Cortex-A76, 7nm processing proses, octa-core
CPU, up to 2.2Ghz
GPU: Arm Mali-G57 MC2, Max GPU Frekuensi: 950MHz

Baterai & Pengisian daya
Baterai 5000mAh (typ)
Mendukung pengisian cepat 18W

Keamanan
Sensor sidik jari samping
AI face unlock

NFC
NFC Multifungsional*
Mendukung Google Pay

Jaringan & Konektivitas
Dual SIM, dual standby: 5G+5G

Band jaringan:
Mendukung 5G / 4G / 3G / 2G

Dukungan Wireless
2.4GHz/5GHz Wi-Fi
Bluetooth 5.1

Sensor
Sensor jarak | Sensor cahaya ambien | Akselerometer | Giroskop | Kompas elektronik | IR Blaster

UI dan sistem
MIUI 12 berbasis Android 11

Isi Paket Pembelian:

Redmi Note 10 5G | Adaptor | Kabel USB Tipe-C | Alat Pembuka SIM | Panduan penggunaan | Kartu",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/11/29/5af085b5-d706-4b53-be9b-072bc0cedf16.png.webp?ect=4g,Rp3.199.000,5,TOKONIK GADGET
Xiaomi NEW Redmi Note 10S 6/128G NFC Layar 6.43” Super AMOLED Smart HP,"Xiaomi Redmi Note 10S

warranty ：45 days

Spesifikasi Produk:

Penyimpanan & RAM
6GB + 64GB | 6GB+ 128GB | 8GB + 128GB
LPDDR4X + UFS 2.2

Dimensi
Tinggi: 160,46mm
Lebar: 74,5mm
Ketebalan: 8,29mm
Berat: 178,8g

Layar
6.43” Super AMOLED DotDisplay
Resolusi: 2400x1080 409 PPI
Rasio kontras: 4.500.000:1
Gamut warna: DCI-P3
Kecerahan: HBM 700 nit (umum), 1100 nit kecerahan puncak (umum)
Warna 8-bit
Mode baca 3.0
Mode sunlight 2.0
Cahaya biru rendah bersertifikasi SGS

Prosesor
MediaTek Helio G95
CPU: Frekuensi CPU maks 2,05GHz
GPU: ARM Mali-G76 MC4
Baterai & Pengisian Daya
5000mAh (typ)
Pengisian daya cepat 33W

Kamera
64MP kamera wide angle
Ukuran sensor 1/1,97”
Ukuran piksel 0,7μm
f/1,79
8MP kamera ultra-wide angle
FOV 118°
f/2,2
2MP kamera makro
f/2,4
4K, 3840x2160 pada kecepatan 30fps
1080p, 1920x1080 pada kecepatan 60fps
1080p, 1920x1080 pada kecepatan 30fps
Kamera depan 13MP
AI Beautify
Mode potret AI dengan bokeh dan kontrol kedalaman
Fitur video kamera depan
Time-lapse
Perekaman video depan
1080p 1920x1080 pada kecepatan 30fps
720p 1280x720 pada kecepatan 30fps

Keamanan
Sensor sidik jari samping
Sensor wajah
NFC
Tahan dari Percikan, Air, dan Debu
IP53

Jaringan & Konektivitas
SIM ganda
Pita jaringan:
2G: GSM 850 900 1800 1900MHz
3G: WCDMA B1/2/4/5/8
4G: LTE FDD B1/2/3/4/5/7/8/20/28
4G: LTE TDD B38/40/41(2535-2655MHz)
Jaringan Nirkabel
2,4 GHz/Wi-Fi 5GHz
Bluetooth 5.0

Navigasi & Pemosisian
GPS: L1
Galileo: E1, GLONASS: G1, Beidou

Audio
Speaker ganda
Jack headphone 3,5mm
Sertifikasi Hi-Res Audio

Sensor
Sensor jarak | Sensor cahaya ambien | Akselerometer | Giroskop | Kompas elektronik | Motor getaran linear | IR Blaster

Sistem Operasi
MIUI 12.5 berbasis Android 11


Isi Paket Pembelian:

Redmi Note 10S
Adaptor
Kabel USB Tipe-C
Alat Pembuka SIM
Casing Pelindung
Panduan Memulai Cepat
Kartu Garansi",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/11/29/87167643-bafb-4a80-b632-7533212ac423.jpg.webp?ect=4g,Rp2.399.000,4.9,TOKONIK GADGET
Iphone 11 128GB Garansi Resmi TAM / Ibox,"Newpack / Slimpack
Isi box : Hanya unit dan kabel Type C to lighting (Adaptor dan Earphone belum include)


100% Garansi resmi
100% Baru dan asli
100% Segel asli greenpeel ( no repack)
RESMI IMEI terdaftar di kemenperin / kominfo
(cek Imei: http://kemenperin•go•id/imei/ )
Berlaku claim di semua service centre ibox
Imei belum aktif / Fresh unit


Operasional 11.00 - 19.00

- setiap pembelian iphone, bila sudah terkoneksi wifi/sudah di aktifkan dibantu ke apple resminya bila ada kendala, karena itu sudah ketentuan dari apple resminya.

Asesoris Lainnya Ditoko ini

Adaptor :
https://www.tokopedia.com/ptpratamasemesta/apple-power-adapter-20w-usb-c-original

https://www.tokopedia.com/ptpratamasemesta/anker-adapter-powerport-iii-nano-20-watt-usb-c-adapter-apple

Tempred Glass :
https://www.tokopedia.com/ptpratamasemesta/lamina-tempered-glass-premium-iphone

https://www.tokopedia.com/ptpratamasemesta/tempered-glass-premium-spy

https://www.tokopedia.com/ptpratamasemesta/tempered-glass-full-screen-iphone-11-11pro-11promax

Case :
https://www.tokopedia.com/ptpratamasemesta/clear-case-with-magsafe

https://www.tokopedia.com/ptpratamasemesta/case-premium-iphone-11

https://www.tokopedia.com/ptpratamasemesta/paket-standar-case-tempered-glass

Airpods dan Earphone :
https://www.tokopedia.com/ptpratamasemesta/apple-earpods-with-lightning-connector-original

https://www.tokopedia.com/ptpratamasemesta/apple-airpods-pro-garansi-ibox-magsafe-charger

Airtag :
https://www.tokopedia.com/ptpratamasemesta/apple-airtag",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/25/b77d65cc-9c1d-4188-a8f0-56cb36caef11.png.webp?ect=4g,Rp6.900.000,5,igoods gadget
Xiaomi NEW Redmi 9 4/64 GB Garansi Toko,"
8MP Lensa ultra wide-angle
13MP lensa wide-angle
2MP Sensor Depth
5MP lensa makro

PERLUAS WAWASAN ANDA
Layar Full HD Dot Drop Display 6.53""dengan resolusi 2340x1080 layar depan dilengkapi corning Gorila Glass 3 memastikan pengalaman visual yang mendalam dan memberikan pandangan yang jelas tentang dunia di sekitar Anda.

LEBIH BANYAK KEUNGGULAN YANG DAPAT ANDA NIKMATI
Kinerja yang kuat & stabil dengan prosesor Helio G80, CPU Octa-Core Up To 2.0 GHz multitasking yang lancar dan pengalaman audiovisual dan game yang brilian.

PENGISIAN DAYA CEPAT, BATERAI BESAR, TIDAK PERNAH TAKUT KEHABISAN DAYA
Dengan kapasitas baterai 5020mAh seperti powerbank dan teknologi fast charging 18W, Anda dapat menghabiskan waktu untuk menonton film, bermain game, atau menelepon, memberikan daya tahan yang Anda butuhkan.

TIGA PILIHAN WARNA
Pilih Sesuai Gayamu
Carbon Grey, Ocean Green, Sunset Purple
Fitur detil yang membuat pengguna lebih nyaman:
2+1 SIM Slot
OS : Android 10 / MIUI 11
Bluetooth 5.0
Mikrofon dengan peredam suara bising
3.5 mm Headphone jack
IR remote untuk kontrol peralatan rumah anda
Konektor USB type-C yang dapat dibalik""""

warranty 15 months

Spesifikasi
RAM : 3GB / 4GB
Kapasitas Penyimpanan : 32GB / 64GB
Warna : Carbon Grey, Ocean Green, Sunset Purple

Tampilan Layar
6.53"""" FHD + Dot Drop Display
Layar Depan Gorilla Glass 3
2340x1080, 1500:1 Color Contrast Ratio

Performa
Chipset: Mediatek Helio G80
CPU : Octa-core CPU, up to 2.0 GHz
LPDDR4X RAM, eMMC 5.1 storage

Kamera
Kamera Belakang : 8MP Lensa ultra wide-angle 13MP lensa wide-angle 2MP Sensor Depth 5MP lensa makro
8MP selfie camera

Baterai
Battery: 5020mAh (typ) mendukung pengisian cepat 18W

Konektivitas
USB : Type-C
SIM : 2+1 SIM Slot
OS System: Android 10, MIUI 11
Jaringan : GSM / WCDMA / LTE Dual 4G Standby",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/11/29/0d078c4b-db5b-48f7-ae7c-c49130352874.png.webp?ect=4g,Rp1.099.000,4.9,TOKONIK GADGET
Xiaomi Redmi 10 4/64 GB + 6/128 GB Garansi Resmi,"Baru dan Bersegel ~
Garansi Resmi Xiaomi Indonesia,
IMEI Terdaftar~


NETWORK Technology
GSM / HSPA / LTE
LAUNCH Announced 2021, August 18
Status Available. Released 2021, August 20
BODY Dimensions 162 x 75.5 x 8.9 mm (6.38 x 2.97 x 0.35 in)
Weight 181 g (6.38 oz)
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type LCD, 90Hz
Size 6.5 inches, 102.0 cm2 (~83.4% screen-to-body ratio)
Resolution 1080 x 2400 pixels, 20:9 ratio (~405 ppi density)
Protection Corning Gorilla Glass 3
PLATFORM OS Android 11, MIUI 12.5
Chipset MediaTek Helio G88 (12nm)
CPU Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)
GPU Mali-G52 MC2
MEMORY Card slot microSDXC (hybrid)
Internal 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM
eMMC 5.1
MAIN CAMERA Quad 50 MP, f/1.8, (wide), PDAF
8 MP, f/2.2, 120˚ (ultrawide)
2 MP, f/2.4, (macro)
2 MP, f/2.4 (depth)
Features LED flash, HDR, panorama
Video 1080p@30fps
SELFIE CAMERA Single 8 MP, f/2.0, (wide)
Video 1080p@30fps
SOUND Loudspeaker Yes, with stereo speakers
3.5mm jack Yes
24-bit/192kHz audio
COMMS WLAN Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot
Bluetooth 5.1, A2DP, LE
GPS Yes, with A-GPS, GLONASS, GALILEO, BDS
Infrared port Yes
Radio FM radio
USB USB Type-C 2.0
FEATURES Sensors Fingerprint (side-mounted), accelerometer, proximity, compass
BATTERY Type Li-Po 5000 mAh, non-removable
Charging Fast charging 18W",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/24/d7b5f530-6ef1-4017-bfce-e1a6545db0bc.png.webp?ect=4g,Rp1.499.000,5,duniagadgetku
"Xiaomi Redmi 9A 2/32 ~ 3/32 GB Garansi Resmi , IMEI Terdaftar","Garansi Resmi Xiaomi Indonesia
IMEI terdaftar

2GB 32GB ~ Ram 2 GB Internal 32 GB
3GB 32 GB ~ Ram 3 GB Internal 32 GB

NETWORK Technology
GSM / HSPA / LTE
LAUNCH Announced 2020, June 30
Status Available. Released 2020, July 07
BODY Dimensions 164.9 x 77 x 9 mm (6.49 x 3.03 x 0.35 in)
Weight 196 g (6.91 oz)
SIM Dual SIM (Nano-SIM, dual stand-by)
DISPLAY Type IPS LCD capacitive touchscreen, 16M colors
Size 6.53 inches, 102.9 cm2 (~81.1% screen-to-body ratio)
Resolution 720 x 1600 pixels, 20:9 ratio (~269 ppi density)
400 nits typ. brightness (advertised)
PLATFORM OS Android 10, MIUI 12
Chipset MediaTek Helio G25 (12 nm)
CPU Octa-core 2.0 GHz Cortex-A53
GPU PowerVR GE8320
MEMORY Card slot microSDXC (dedicated slot)
Internal 32GB 2GB RAM
eMMC 5.1
MAIN CAMERA Single 13 MP, f/2.2, 28mm (wide), PDAF
Features LED flash, HDR
Video 1080p@30/60fps
SELFIE CAMERA Single 5 MP, f/2.2, (wide), 1.12µm
Features HDR
Video 1080p@30fps
SOUND Loudspeaker Yes
3.5mm jack Yes
COMMS WLAN Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot
Bluetooth 5.0, A2DP, LE
GPS Yes, with A-GPS, GLONASS, BDS
Radio FM radio
USB microUSB 2.0, USB On-The-Go
FEATURES Sensors Accelerometer, proximity
BATTERY Li-Po 5000 mAh, non-removable
Charging Charging 10W
",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/9/24/853dd3f0-ca95-4d9e-95ac-14729f7fdbb9.jpg.webp?ect=4g,Rp1.099.000,5,duniagadgetku
iPhone 13 Garansi Resmi,"Newpack / Slimpack
Isi box : Hanya unit dan kabel Type C to lighting (Adaptor dan Earphone belum include)


100% Garansi resmi
100% Baru dan asli
100% Segel asli greenpeel ( no repack)
RESMI IMEI terdaftar di kemenperin / kominfo
(cek Imei: http://kemenperin•go•id/imei/ )
Berlaku claim di semua service centre ibox
Imei belum aktif / Fresh unit


Operasional 11.00 - 19.00

- setiap pembelian iphone, bila sudah terkoneksi wifi/sudah di aktifkan dibantu ke apple resminya bila ada kendala, karena itu sudah ketentuan dari apple resminya.

Asesoris Lainnya Ditoko ini

Adaptor :
https://www.tokopedia.com/ptpratamasemesta/apple-power-adapter-20w-usb-c-original

https://www.tokopedia.com/ptpratamasemesta/anker-adapter-powerport-iii-nano-20-watt-usb-c-adapter-apple

Tempred Glass :
https://www.tokopedia.com/ptpratamasemesta/lamina-tempered-glass-premium-iphone

https://www.tokopedia.com/ptpratamasemesta/tempered-glass-premium-spy

https://www.tokopedia.com/ptpratamasemesta/tempered-glass-full-screen-iphone-11-11pro-11promax

Case :
https://www.tokopedia.com/ptpratamasemesta/clear-case-with-magsafe

https://www.tokopedia.com/ptpratamasemesta/case-anti-drop-itskin

https://www.tokopedia.com/ptpratamasemesta/case-anti-drop-magsafe-zagg

https://www.tokopedia.com/ptpratamasemesta/case-premium-13-pro-13-pro-max-hybrid-clear

https://www.tokopedia.com/ptpratamasemesta/clear-case-motif-uniq-13-pro

https://www.tokopedia.com/ptpratamasemesta/clear-case-uniq-lifepro-xtreme

Airpods dan Earphone :
https://www.tokopedia.com/ptpratamasemesta/apple-earpods-with-lightning-connector-original

https://www.tokopedia.com/ptpratamasemesta/apple-airpods-pro-garansi-ibox-magsafe-charger

Airtag :
https://www.tokopedia.com/ptpratamasemesta/apple-airtag",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/8/25/f22ab2fb-91c8-449a-ad2b-5ab9ae9616b7.png.webp?ect=4g,Rp11.460.000,5,igoods gadget
"Xiaomi Redmi 9A 2/32GB 6.53"" HD Mi Smartphone AI Face Unlock","Xiaomi Official Store Garansi Resmi, IMEI Resmi
Redmi 9A memiliki layar imersif 6,53"" HD+ dengan layar besar, kamu dapat sepenuhnya membenamkan diri di dunia maya. Cahaya biru rendah untuk pengalaman melihat yang nyaman.
Redmi 9A memiliki baterai besar 5000mAh dengan 34 hari waktu siaga, baterai ini memberikan daya yang tahan lama. Baterai memiliki jumlah siklus pengisian daya hingga 1000,Daya tahan baterai meningkat25% dibandingkan dengan standar pasar.

Redmi 9A peningkatan daya pemrosesan. Prosesor MediaTek Helio G25 memberikan performa yang andal

Redmi 9A mengabadikan memori indah dengan kamera AI 13 MP

Redmi 9A dapat membuka kunci dalam sekejap dengan AI Face Unlock!. Ponsel akan mengenali wajahmu dan membuka kunci dalam sekejap.Xiaomi Redmi 9A menggunakan layar baru yang diperhalus.

Warranty 24 Months

Spesifikasi:

Fitur: MediaTek Helio G25
Tampilan: 6,53'HD+ Layar Dot Drop
Baterai: 5000mAh (typ)
Kamera: 13MP belakang 5MP kamera selfie
Buka kunci: AI Face Unlock
Jaringan & Konektivitas:
Band jaringan
GSM B2/3/5/8
WCDMA B1/2/4/5/8
LTE-FDD B1/2/3/4/5/7/8/20/28
LTE-TDD B38/40/41(2535-2655MHz)
Jaringan nirkabel
Mendukung protokol: 802.11 b/g/n
Mendukung 2.4G Wi-Fi / Wi-Fi Direct
Mendukung Bluetooth 5.0
Mendukung radio FM (dengan headphone)
Port: Port pengisian daya micro USB | 3,5 mm port headphone
Navigasi & Positioning: • GPS • AGPS • GLONASS • Beidou
Sensor: • Motor getaran • Sensor jarak • Sensor cahaya ambient • Akselerometer
Multimedia: MP4 • MP3 • MKV • AAC
Audio: Output audio oleh 1712 speaker dengan kotak besar

Isi paket pembelian:
1 Redmi 9A
1 Adaptor
1 Pengisi daya 5V2A
1 Kabel Mikro-USB
Alat SIM ejektor
Kartu garansi
Panduan pengguna",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/11/29/085becf6-0928-4a97-a2cc-7d33423ff0de.jpg.webp?ect=4g,Rp799.000,4.9,TOKONIK GADGET
"XIAOMI OFFICIAL Redmi 12C MediaTek Helio G85 50MP AI Dual Kamera 6,71""","XIAOMI OFFICIAL Redmi 12C MediaTek Helio G85 50MP AI Dual Kamera 6,71""

Xiaomi Official Store Garansi Resmi, IMEI Resmi Terdaftar di IMEI KEMENPERIN

Masa Garansi : 15 Bulan

Didukung oleh prosesor MediaTek Helio G85, Redmi 12C memberikan performa terbaik di kelasnya dan lancar pengalaman dalam bermain game, pencitraan, atau penggunaan sehari-hari.

Baterai besar 5000mAh dari Xiaomi Redmi 12C dengan mudah menyediakan daya yang cukup untuk bertahan seharian penuh menelepon, bermain game, dan memutar video.

Dengan sensor sidik jari belakang yang menyatu selaras dengan desain minimalisnya, membuka kunci ponsel kamu dengan cepat, mudah, dan aman.

Menampilkan layar HD+ 6,71"" yang besar, Xiaomi Redmi 12C menghidupkan film dan game favorit kamu. Layar juga memungkinkan pengalaman menonton yang lebih baik untuk navigasi harian kamu dan membaca dengan aspek rasioi 20,6:9.

Hadir dalam bentuk unibody, dengan tepi rata dan melengkung ke belakang, desain bergaris dan berusuk yang stylish membuat perangkat ini lebih mudah dikenali dan tahan selip sambil meningkatkan estetika keseluruhan dan rasa cengkeramannya.

Dilengkapi dengan kamera utama 50MP, Xiaomi Redmi 12C menawarkan detail yang lebih baik dan tangkapan cahaya yang lebih baik kemampuan, memungkinkan kamu untuk merekam momen yang tak terlupakan dalam kondisi cahaya apapun.

Chipset : Helio G85
Kamera Belakang : 50 MP + Depth Camera
Kamera Depan : 5 MP
Ukuran Layar : 6.71 Inch HD+
Baterai : 5000 mAh
Sistem Operasi : Android

Dimension L x W x H: 168,76mm x 76,41mm x 8,77mm

Hi Mi Fans,
Demi kenyamanan dan keamanan berbelanja.. mohon bantu kami yaa.

Menyertakan video unboxing ketika komplain
Rekam video dengan jelas sebelum membuka paket
Mohon maaf, kami tidak menerima video yang direkam setelah paket dibuka serta video editan atau terputus-putus
Jangan lupa kasih review dan rate bintangnya ya",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/3/9/118a173c-a2d5-4a5e-af26-209edfbc07e3.jpg.webp?ect=4g,Rp1.199.000,4.9,Xiaomi Official Store
NOKIA 150 (2020) GARANSI RESMI 1 TAHUN (GANTI BARU),"GARANSI RESMI 1 TAHUN, RUSAK DI GANTI BARU

NB: Apabila warna yg di pilih stock habis, maka akan kami kirim secara Random

Network Technology
GSM
Launch Announced 2020, May 12
Status Available. Released 2020, May 29
Body Dimensions 132 x 50.5 x 15 mm (5.20 x 1.99 x 0.59 in)
Weight 90.5 g (3.21 oz)
SIM Dual SIM (Mini-SIM, dual stand-by)
Flashlight
Display Type TFT, 65K colors
Size 2.4 inches, 17.8 cm2 (~26.8% screen-to-body ratio)
Resolution 240 x 320 pixels, 4:3 ratio (~167 ppi density)
Memory Card slot microSD
Phonebook 2000 entries
Call records Yes
Internal 4MB
Main Camera Single VGA
Video Yes
Selfie camera No
Sound Loudspeaker Yes
3.5mm jack Yes
Comms WLAN No
Bluetooth 3.0
GPS No
Radio FM radio; built-in antenna
USB microUSB 2.0
Features Sensors
Messaging SMS
Games Yes
Java No
MP3 player
Battery Type Li-Ion 1020 mAh, removable
Stand-by Up to 560 h
Talk time Up to 19 h",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/8/29/ec0883b6-4b92-4a90-b245-facc23008490.png.webp?ect=4g,Rp422.000,,Garden Cell Official
